filename,reference,whisper_hypothesis,wer
common_voice_ar_24257230.mp3,كان سامي مدرسا بالفطره,,1.0000
common_voice_ar_22931432.mp3,من الممكن انها لن تاتي غدا,م,1.0000
common_voice_ar_26338992.mp3,ابنك بطل,ابنوكه,1.0000
common_voice_ar_35782277.mp3,جاء ذلك الغبي يبحث عني,جاء ذلك الج,0.6000
common_voice_ar_24259106.mp3,سامي يعلم ان ليلي غاضبه عليه,ساميا,1.0000
common_voice_ar_25175528.mp3,الواعظ الامرد هذا الذي,الله ع,1.0000
common_voice_ar_25993518.mp3,سمح له هذا بالتخصص في البرونز الصغير الذي يتم انتاجه بشكل رءيسي ومربح للتصدير,سمح له هذا,0.7857
common_voice_ar_30452352.mp3,ايا سعد قل للقس من داخل الدير,ايا سعد كل,0.7143
common_voice_ar_19216700.mp3,الديك قلم,ه,1.0000
common_voice_ar_24255757.mp3,لقد قابلته,لقد قبل,0.5000
common_voice_ar_37398532.mp3,لا تخشعن لطارق الحدثان,ل,1.0000
common_voice_ar_24434923.mp3,يا نديمي قسم بي الي الصهباء,ي,1.0000
common_voice_ar_23675091.mp3,انك تكبر المشكله,انك تكب,0.6667
common_voice_ar_29358840.mp3,انت عندي عربي الاصل ما فيك كلام,انت عندي عرب,0.7143
common_voice_ar_28809851.mp3,مات الملك,مات الملك,0.0000
common_voice_ar_23703284.mp3,احب نظريه علميه الي هي ان حلقات زحل مكونه بالكامل من الامتعه المفقوده,ا,1.0000
common_voice_ar_20359213.mp3,درس كل يوم لمده ساعه ونصف,دروس,1.0000
common_voice_ar_23973104.mp3,لست المذنب حضره المفتش,ل,1.0000
common_voice_ar_23974297.mp3,لا تقل ذلك,لا تقول,0.6667
common_voice_ar_28801408.mp3,يا ليل هجر الحبيب طلت علي,يا ليل هاج,0.6667
common_voice_ar_28791554.mp3,ان جمال ينتظر سارا,نجماله,1.0000
common_voice_ar_23200721.mp3,ارسم لي خروفا,بورسم,1.0000
common_voice_ar_19242995.mp3,اين المشكله,ا,1.0000
common_voice_ar_28809998.mp3,كم ذا تموه بالشعبين والعلم,كم ذا ا,0.6000
common_voice_ar_30890573.mp3,قل لعبد القوي انت قوي,قل لعب,0.8000
common_voice_ar_35659939.mp3,قد قلت لابن ابي الشوارب مشفقا,قل,1.0000
common_voice_ar_22728524.mp3,لا تلمس الجرح,لا تلمس الجرح,0.0000
common_voice_ar_32506227.mp3,لا تقف بعد عزم شهر الصيام,لا تقف بعد عزمي,0.5000
common_voice_ar_24032000.mp3,ولله يسجد ما في السماوات وما في الارض من دابه والملاءكه وهم لا يستكبرون,والله يز,1.0000
common_voice_ar_27192383.mp3,ان الحق معك,نحق معك,0.6667
common_voice_ar_32270980.mp3,انا من اهوي ومن اهوي انا,انا من ا,0.6667
common_voice_ar_24256571.mp3,ذهبت الي هناك ايضا,ذهب زي,1.0000
common_voice_ar_27502696.mp3,كم كربه ضاق صدري عن تحملها,كما ق ك,1.0000
common_voice_ar_23342586.mp3,صرخوا طالبين النجده,صرفه,1.0000
common_voice_ar_28737372.mp3,لي اربعون من السنين,ديار,1.0000
common_voice_ar_28852934.mp3,اواجه صعوبه في التحدث عن مشاعري,ويحصلوا بدن في ت,0.8333
common_voice_ar_19235572.mp3,تقوم امي باعداد كعكه لاجل ابي,تط,1.0000
common_voice_ar_28338384.mp3,مدحت معاشرا عررا,دحت معاشر,1.0000
common_voice_ar_22714476.mp3,ستنجزه خلال اربعا و عشرين ساعه,ستج,1.0000
common_voice_ar_28644589.mp3,لك الحمد كلا يجبر الشعب كسره,لكل,1.0000
common_voice_ar_23794953.mp3,يجب ان لا تلعب,يجب علي,0.7500
common_voice_ar_25216221.mp3,نزع القريض الي حمي نقاشه,نزع القر,0.8000
common_voice_ar_28825216.mp3,رويدك قد غررت وانت حر,روا,1.0000
common_voice_ar_30387289.mp3,يعز علي قبر بعد مهد,يعز علي قبل,0.6000
common_voice_ar_23974644.mp3,سالتني اذا كنت علي ما يرام,سالتني ا,0.8333
common_voice_ar_25224070.mp3,الحقيقه هي انك جبان,الحقيق,1.0000
common_voice_ar_25289295.mp3,ذهب الناس فاستقلوا وصرنا,ذهب الن,0.7500
common_voice_ar_25175780.mp3,يا اعز الناس عندي,,1.0000
common_voice_ar_23974844.mp3,اتي عده مرات,ثلته,1.0000
common_voice_ar_30632750.mp3,لمعده شيطانها رجيم,لمعده ت,0.6667
common_voice_ar_24605221.mp3,شغلته اشغال عن الارام,شغلته ا,0.7500
common_voice_ar_24256989.mp3,وروي حميد عن انس ان النبي صلي الله عليه وسلم قال,ورواح ما,1.0000
common_voice_ar_25197421.mp3,سيدي انت لم اقل سيدي انت,سيدي,0.8333
common_voice_ar_29159842.mp3,العربه المجروره اخترعت في الصين,العر,1.0000
common_voice_ar_24203553.mp3,استعمل فاضل اسما مستعارا,استعمال,1.0000
common_voice_ar_39942594.mp3,يا حسنه قمرا وانت سماءه,يا حسنه,0.6000
common_voice_ar_28801294.mp3,لقد عجلتني نظرتي بهواكا,لقد عاج,0.7500
common_voice_ar_23608005.mp3,اخترقت الرصاصه جسده,افترقات ت,1.0000
common_voice_ar_23974211.mp3,يتحركون من مكان الي اخر,يتحر,1.0000
common_voice_ar_22951979.mp3,كان موتها صدمه كبيره بالنسبه لي,كان موتها س,0.6667
common_voice_ar_33309149.mp3,تاه الاعيرج واستعلي به الخطر,تاهل ا,1.0000
common_voice_ar_23763510.mp3,من سيكذب لاجلك سيكذب عليك,م,1.0000
common_voice_ar_22815859.mp3,كل جهد يستحق المكافاه,كل جهدا,0.7500
common_voice_ar_35672674.mp3,كانت ليلي تعيش في القاهره,كانت لي,0.8000
common_voice_ar_35493271.mp3,ام كلثوم في فنون الاغاني,امكن,1.0000
common_voice_ar_35707308.mp3,هربت هره بيتي يوم عيدي,ه يوم عا,0.8000
common_voice_ar_35684224.mp3,وممشق الحركات تحسب نصفه,ومم,1.0000
common_voice_ar_30410957.mp3,وجدت سكوتي متجرا فلزمته,واجدتوا,1.0000
common_voice_ar_28799966.mp3,ايلتمس الناس الغني فيصيبهم,اي التمس الن,1.0000
common_voice_ar_20323683.mp3,ما رايك في اللغه اليابانيه,مرعك,1.0000
common_voice_ar_25175334.mp3,سرق الدهر شبابي من يدي,سرقه,1.0000
common_voice_ar_30411058.mp3,اتحسب سوء الظن يجرح في فكري,اتحسب ص,0.8333
common_voice_ar_23973047.mp3,وصلتني رسالتك بالامس,وزاله,1.0000
common_voice_ar_28782597.mp3,قالوا فروق الملك دار مخاوف,قالف,1.0000
common_voice_ar_28782266.mp3,كيف تشرح هذا انا لا استطيع,كيف الت,0.8333
common_voice_ar_24204009.mp3,ولا يستثقلها كارها,ولا يستف,0.6667
common_voice_ar_19204574.mp3,كم الساعه,دعني س,1.0000
common_voice_ar_28886225.mp3,ما لقوم اذا يقال علي,مالقوم ا,1.0000
common_voice_ar_35707702.mp3,وخضراء من حوك الربيع شهدتها,وخذ,1.0000
common_voice_ar_28801196.mp3,الا نسيا نفسي حديث البلابل,الا نسي ان,0.8000
common_voice_ar_22775828.mp3,انتهي وقتك,انه,1.0000
common_voice_ar_28782138.mp3,تفيء الايور علي اهلها,تفي,1.0000
common_voice_ar_24033139.mp3,عما كانوا يعملون,اما كان ي,1.0000
common_voice_ar_37272377.mp3,حليف بلوي شكا جورا فقلت له,حليف بال,0.8333
common_voice_ar_30401894.mp3,مواهب وهاب وقي بعضها بعضا,مواهب وع,0.8000
common_voice_ar_24221760.mp3,وما هو بقول شيطان رجيم,وما هو بال,0.6000
common_voice_ar_20933539.mp3,اعرف تلك الفتاه,اعرفت,1.0000
common_voice_ar_28297654.mp3,ما زال حر الشوق يغلب صبرها,ماذا لا,1.0000
common_voice_ar_25853421.mp3,قطع توم النهر سباحه,كط,1.0000
common_voice_ar_22788935.mp3,سءال جيد,سواتم جيت,1.0000
common_voice_ar_23975066.mp3,لا تستمع اليه ما يقوله هراء,ل,1.0000
common_voice_ar_20335209.mp3,لماذا تسال,دي ماذ,1.0000
